"from","to","n_methods","methods"
"Tstate_simple_cytotoxic","prop_NK",2,"Bootstrap_50pct, PC_stringent"
"prop_Epithelial_cells","Tstate_simple_regulatory",2,"Bootstrap_50pct, PC_stringent"
"Mstate_simple_dendritic_cell","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",1,"Bootstrap_50pct"
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",1,"Bootstrap_50pct"
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
"Tstate_simple_regulatory","prop_Epithelial_cells",1,"Bootstrap_50pct"
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",1,"Bootstrap_50pct"
"prop_NK","Tstate_simple_cytotoxic",1,"Bootstrap_50pct"
