"maintypes_2","Primary Tumor","Metastatic Tumor","Lymph Node","Ascites","PBMC"
"B",0.93,4.39,27.43,2.66,9.62
"CD4+ T",4.98,5.62,53.22,14.9,36.06
"CD8+ T",8,17.59,11.08,17.52,14.4
"NK",2.04,2.74,2.32,8.47,7.08
"Monocyte",0.02,0,0.04,0.41,30.49
"Macrophage",11.29,13.55,0.23,43.22,0.1
"DC",0.57,1.46,1.87,6.16,1.1
"Fibroblast",8.75,9.81,0.01,0.03,0
"Mesothelial cells",0.71,0.8,0,1.4,0
"Other stromal cells",3.29,2.55,1.01,0,0
"Endothelial cells",2.27,4.02,1.43,0,0
"Epithelial cells",53.17,33.33,0.15,2.7,0.03
"HSC",0,0,0.04,0.08,0.13
"Proliferative cells",3.96,4.13,1.17,2.46,0.99
