"maintypes_2","HGSOC1","HGSOC2","HGSOC3","HGSOC4","HGSOC5","HGSOC6","HGSOC7","HGSOC8","HGSOC9","HGSOC10","ECO1","UOC1","OCCC1","C1"
"B",6.2,18.81,7.4,8.71,1.4,14.34,0.3,2.44,0.81,1.47,4.32,4.86,0.88,0
"CD4+ T",24.05,18.39,28.96,29.71,6.29,22.8,2.12,9.32,5.67,7.87,23.73,33.32,17.53,2.28
"CD8+ T",13.98,7.98,16.39,13.88,9.05,19.1,1.48,17.78,8.45,17.16,10.68,49.56,23.67,6.16
"NK",4.58,2.48,1.99,4.44,3.47,5.97,1.55,18.37,6.32,13.13,3.19,3.04,23.59,0.56
"Monocyte",5.43,8.68,9.51,4.85,0.07,4.52,0,0.41,0.14,0.46,3.53,0.06,0.37,0.03
"Macrophage",8.09,14.81,11.02,4.54,22.7,12.76,31.81,16.63,54.64,12.89,20.65,1.27,15.23,4.69
"DC",3.25,4.71,1.9,1.26,2.74,1.62,1.55,1.12,2.08,2.12,1.48,1.41,2.35,0.37
"Fibroblast",1.44,0.39,5.68,4.73,0.03,2.24,15.5,4.68,0.01,6.73,7.63,0.41,0.21,0.21
"Mesothelial cells",0.03,0,1.22,0.03,2.12,1.23,0.44,1.19,2.13,2.17,0.45,0,1.92,0
"Other stromal cells",1.01,0.29,2.32,1.51,0,0.94,2.09,1.75,0,1.78,2.76,0.72,0,0.51
"Endothelial cells",0.48,0.7,1.07,1.44,0.09,1.21,0.47,0.48,0.03,0.6,3.73,0.97,0,0.54
"Epithelial cells",28.21,20.39,8.1,22.15,51.32,10.68,32.65,23.54,15.87,29.64,16.44,0.3,13.36,83.61
"HSC",0.05,0.09,0.07,0.03,0,0.09,0,0.03,0.05,0.02,0.02,0.03,0.08,0
"Proliferative cells",3.21,2.27,4.36,2.73,0.73,2.51,10.04,2.26,3.8,3.96,1.41,4.06,0.8,1.04
